country_code,airport_code,airport_name
CF,BCF,Bouca Airport
MY,BKI,Kota Kinabalu International Airport
CH,BXO,Buochs Airport
RU,PES,Petrozavodsk Airport
EG,DAK,Dakhla Airport
CN,JIU,Jiujiang Lushan Airport
LK,ACJ,Anuradhapura Air Force Base
FR,XVS,Valenciennes-Denain Airport
RU,BGN,Belaya Gora Airport
CF,KOL,Koumala Airport
GL,JNN,Nanortalik Heliport
MZ,VJB,Xai-Xai Airport
AU,WEW,Wee Waa Airport
VE,VCR,Carora Airport
PG,DAO,Dabo Airport
US,SPI,Abraham Lincoln Capital Airport
ID,DEX,Nop Goliat Airport
US,STE,Stevens Point Municipal Airport
AU,IDK,Indulkana Airport
RU,VRI,Varandey Airport
TR,ADA,Adana Airport
US,APV,Apple Valley Airport
PL,CZW,Częstochowa-Rudniki
CA,YRF,Cartwright Airport
US,AYE,Ft Devens Moore Army Air Field
NZ,WHK,Whakatane Airport
KE,ANA,Angama Airport
CG,MKJ,Makoua Airport
JP,TNE,New Tanegashima Airport
US,KPB,Point Baker Seaplane Base
ID,CBN,Penggung Airport
KG,OSS,Osh Airport
CN,QSZ,Yeerqiang Airport
GY,BCG,Bemichi Airport
ET,MQX,Mekele Airport
MG,AMP,Ampanihy Airport
PG,WAB,Wabag Airport
PG,TDS,Sasereme Airport
DZ,GJL,Jijel Ferhat Abbas Airport
ET,DBM,Debra Marcos Airport
CA,YTB,Hartley Bay Seaplane Base
BR,XAP,Serafin Enoss Bertaso Airport
US,GED,Sussex County Airport
AO,SVP,Kuito Airport
BF,BOY,Bobo Dioulasso Airport
PG,KIQ,Kira Airport
ZW,HWN,Hwange National Park Airport
UA,DOK,Donetsk International Airport
US,BGR,Bangor International Airport
CR,PLD,Playa Samara/Carrillo Airport
TW,MZG,Makung Airport
US,GMU,Greenville Downtown Airport
CN,KCA,Kuqa Airport
HU,TZR,Taszár Air Base
US,CCD,Century City Heliport
CA,YZR,Chris Hadfield Airport
AU,GOV,Gove Airport
MG,OHB,Ambohibary Airport
LK,KCT,Koggala Airport
US,LRF,Little Rock Air Force Base
ET,ABK,Kabri Dehar Airport
ID,BUI,Bokondini Airport
ID,RKI,Rokot Airport
IR,BJB,Bojnord Airport
SA,GIZ,Jizan Regional Airport
GB,PZE,Penzance Heliport
FR,DLE,Dole-Tavaux Airport
US,AIO,Atlantic Municipal Airport
AU,MQA,Mandora Airport
BF,XBG,Bogande Airport
US,RCE,Roche Harbor Airport
US,OMK,Omak Airport
AU,GSN,Mount Gunson Airport
ZA,PLZ,Port Elizabeth Airport
CN,TXN,Tunxi International Airport
PK,KHI,Jinnah International Airport
CO,MVP,Fabio Alberto Leon Bentley Airport
PY,CIO,Teniente Col Carmelo Peralta Airport
CN,DLC,Zhoushuizi Airport
FJ,PTF,Malolo Lailai Island Airport
PE,ALD,Alerta Airport
ZA,SZK,Skukuza Airport
BR,QIG,Iguatu Airport
MY,MZS,Mostyn Airport
MN,HVD,Khovd Airport
AR,VDM,Gobernador Castello Airport
PF,FAV,Fakarava Airport
SN,CSK,Cap Skirring Airport
IN,DHM,Kangra Airport
US,ARV,Lakeland-Noble F. Lee Memorial field
US,PLB,Clinton County Airport
BR,GYN,Santa Genoveva Airport
IR,PFQ,Parsabade Moghan Airport
US,KNK,Kokhanok Airport
SA,BHH,Bisha Airport
PG,PUI,Pureni Airport
ZA,KOF,Komatipoort Airport
US,LTH,Lathrop Wells Airport / Jackass Aeropark
VE,PMV,Del Caribe Santiago Mariño International Airport
US,HHI,Wheeler Army Airfield
